period,sheet,row,code,p,n,band,official,linear_pN,difference
2024-01,Sub-ICB,340,C_340,0.92,9037,47,47.2774468085107,47.27744680851065,-4.973799150320701e-14
2024-01,Sub-ICB,341,C_400,0.5,7618,16,16.8595505617978,16.859550561797754,-4.618527782440651e-14
2024-01,Sub-ICB,341,C_400,0.92,7618,40,40.5356,40.5356,0.0
2024-01,Sub-ICB,342,C_410,0.5,3142,10,10.7011494252874,10.701149425287356,-4.440892098500626e-14
2024-01,Sub-ICB,342,C_410,0.92,3142,35,35.4861538461539,35.48615384615386,-3.552713678800501e-14
2024-01,Sub-ICB,343,C_430,0.5,605,6,6.66304347826087,6.663043478260869,-8.881784197001252e-16
2024-01,Sub-ICB,343,C_430,0.92,605,20,20.16,20.160000000000004,3.552713678800501e-15
2024-01,Sub-ICB,344,C_502,0.5,24233,16,16.8692434210526,16.86924342105263,2.842170943040401e-14
2024-01,Sub-ICB,344,C_502,0.92,24233,47,47.3063043478261,47.30630434782609,-7.105427357601002e-15
2024-01,Sub-ICB,350,C_999,0.5,246025,13,13.8389775842606,13.838977584260602,1.7763568394002505e-15
2024-01,Sub-ICB,350,C_999,0.92,246025,43,43.4153653966271,43.41536539662711,7.105427357601002e-15
2024-01,Sub-ICB,351,C_100,0.5,10978,21,21.0434782608696,21.043478260869566,-3.197442310920451e-14
