period,sheet,row,percentile,official,computed,lower,difference
2024-01,Sub-ICB,197,0.92,45.64,45.64,45,0.0
2024-01,Sub-ICB,198,0.5,12.125,12.125,12,0.0
2024-01,Sub-ICB,198,0.92,36.28,36.28,36,0.0
2024-01,Sub-ICB,200,0.5,15.55,15.55,15,0.0
2024-01,Sub-ICB,200,0.92,45.4,45.400000000000006,45,7.105427357601002e-15
2024-01,Sub-ICB,201,0.5,12.55,12.55,12,0.0
2024-01,Sub-ICB,201,0.92,42.08,42.08000000000001,42,1.4210854715202004e-14
2024-01,Sub-ICB,203,0.5,16.2857142857143,16.285714285714285,16,-1.4210854715202004e-14
2024-01,Sub-ICB,203,0.92,39.376,39.376000000000005,39,7.105427357601002e-15
2024-01,Sub-ICB,204,0.5,15.0714285714286,15.071428571428571,15,-2.842170943040401e-14
2024-01,Sub-ICB,204,0.92,47.3066666666667,47.30666666666667,47,-2.842170943040401e-14
2024-01,Sub-ICB,205,0.5,12.2,12.2,12,0.0
2024-01,Sub-ICB,205,0.92,36.9,36.9,36,0.0
2024-01,Sub-ICB,206,0.5,15.6111111111111,15.61111111111111,15,1.0658141036401503e-14
2024-01,Sub-ICB,206,0.92,45.2250746268657,45.22507462686567,45,-2.842170943040401e-14
2024-01,Sub-ICB,208,0.5,18.0,18.0,17,0.0
2024-01,Sub-ICB,208,0.92,93.4,93.4,93,0.0
2024-01,Sub-ICB,214,0.5,14.0833333333333,14.083333333333334,14,3.375077994860476e-14
2024-01,Sub-ICB,214,0.92,85.8,85.80000000000001,85,1.4210854715202004e-14
2024-01,Sub-ICB,225,0.5,6.58333333333333,6.583333333333333,6,2.6645352591003757e-15
2024-01,Sub-ICB,225,0.92,21.66,21.660000000000004,21,3.552713678800501e-15
2024-01,Sub-ICB,227,0.5,19.39,19.39,19,0.0
2024-01,Sub-ICB,227,0.92,64.1466666666667,64.14666666666669,64,-1.4210854715202004e-14
2024-01,Sub-ICB,230,0.5,18.6,18.6,18,0.0
2024-01,Sub-ICB,230,0.92,66.4218181818182,66.42181818181821,66,1.4210854715202004e-14
2024-01,Sub-ICB,232,0.5,16.5,16.5,16,0.0
2024-01,Sub-ICB,232,0.92,31.0,31.0,30,0.0
2024-01,Sub-ICB,233,0.5,17.3333333333333,17.333333333333332,17,3.197442310920451e-14
2024-01,Sub-ICB,233,0.92,36.04,36.04,36,0.0
2024-01,Sub-ICB,234,0.5,19.0,19.0,18,0.0
2024-01,Sub-ICB,234,0.92,40.6,40.6,40,0.0
2024-01,Sub-ICB,235,0.5,8.5,8.5,8,0.0
2024-01,Sub-ICB,235,0.92,33.08,33.080000000000005,33,7.105427357601002e-15
2024-01,Sub-ICB,241,0.5,14.25,14.25,14,0.0
2024-01,Sub-ICB,241,0.92,33.0,33.0,32,0.0
2024-01,Sub-ICB,243,0.5,16.75,16.75,16,0.0
2024-01,Sub-ICB,243,0.92,36.32,36.32,36,0.0
2024-01,Sub-ICB,249,0.5,9.25,9.25,9,0.0
2024-01,Sub-ICB,249,0.92,31.84,31.84,31,0.0
2024-01,Sub-ICB,252,0.5,13.5,13.5,13,0.0
2024-01,Sub-ICB,252,0.92,36.68,36.68,36,0.0
2024-01,Sub-ICB,254,0.5,14.8636363636364,14.863636363636363,14,-3.730349362740526e-14
2024-01,Sub-ICB,254,0.92,36.288,36.288,36,0.0
2024-01,Sub-ICB,255,0.5,14.80859375,14.80859375,14,0.0
2024-01,Sub-ICB,255,0.92,40.2973333333333,40.297333333333334,40,3.552713678800501e-14
2024-01,Sub-ICB,256,0.5,10.6293103448276,10.629310344827585,10,-1.4210854715202004e-14
2024-01,Sub-ICB,256,0.92,33.6097435897436,33.609743589743594,33,-7.105427357601002e-15
2024-01,Sub-ICB,257,0.5,14.6437847866419,14.64378478664193,14,3.019806626980426e-14
2024-01,Sub-ICB,257,0.92,38.7539130434783,38.75391304347827,38,-2.842170943040401e-14
2024-01,Sub-ICB,258,0.5,14.0982587064677,14.098258706467663,14,-3.730349362740526e-14
2024-01,Sub-ICB,258,0.92,36.6081415929204,36.60814159292036,36,-3.552713678800501e-14
2024-01,Sub-ICB,259,0.5,8.90989660265879,8.909896602658788,8,-1.7763568394002505e-15
2024-01,Sub-ICB,259,0.92,27.6334814814815,27.633481481481486,27,-1.4210854715202004e-14
