period,part,kind,code,name,release,lower_week,upper_week,open_band,count,share,group
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,25,26,False,100606,0.0132873735612,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,26,27,False,92573,0.0122264281721,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,27,28,False,112699,0.0148845368365,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,28,29,False,113124,0.0149406680192,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,29,30,False,107323,0.0141745103941,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,30,31,False,101657,0.0134261826741,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,31,32,False,97454,0.0128710782959,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,32,33,False,89671,0.0118431512495,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,33,34,False,91063,0.0120269973819,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,34,35,False,87758,0.0115904948908,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,35,36,False,82321,0.0108724119728,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,36,37,False,77713,0.0102638178793,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,37,38,False,71835,0.00948749060463,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,38,39,False,50955,0.00672979861849,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,39,40,False,28414,0.00375273276314,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,40,41,False,56133,0.00741367453344,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,41,42,False,57730,0.0076245957069,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,42,43,False,56605,0.00747601316455,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,43,44,False,54030,0.00713592423426,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,44,45,False,51940,0.00685989088891,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,45,46,False,50011,0.00660512135628,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,46,47,False,47309,0.00624825910788,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,47,48,False,43183,0.0057033243792,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,48,49,False,39376,0.00520052105586,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,49,50,False,38794,0.00512365435395,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,50,51,False,36918,0.00487588470998,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,51,52,False,32901,0.00434534597874,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,52,53,False,30609,0.00404263381245,over52
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,53,54,False,27377,0.00361577267743,over52
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,54,55,False,25662,0.00338926684619,over52
